censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,WB_Y_pred,wb_emp_std,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,wb_mse,rf_mse,events_bin
0.1,0.09,0.0114,2.4997,0.4649122807017544,0.016,43.324,0.5125000000000001,0.9458,0.9289,0.9311,0.0033,0.0112,0.0342,206.6777,0.5526315789473684,0.083,0.0822,EE1
0.1,0.18,0.0202,5.0021,0.42574257425742573,0.0272,41.3965,0.41544117647058826,0.8822,0.8497,0.8554,0.0051,0.0193,0.057,195.6056,0.3964912280701754,0.1462,0.1448,EE2
0.1,0.27,0.0283,0.8413,0.3604240282685513,0.0375,33.5016,0.336,0.813,0.7677,0.7768,0.0063,0.0281,0.0772,175.06,0.3134715025906735,0.188,0.1865,EE3
0.1,0.36,0.0363,0.3728,0.3526170798898072,0.0476,31.8281,0.3214285714285714,0.7378,0.683,0.6946,0.0072,0.0361,0.0963,166.4637,0.29075804776739356,0.212,0.2108,EE4
0.3,0.07,0.0118,10.2623,0.4406779661016949,0.0245,129.6308,0.5959183673469387,0.9528,0.9379,0.9405,0.0037,0.0107,0.0328,208.045,0.6189024390243901,0.0741,0.0736,EE1
0.3,0.14,0.0211,12.1936,0.39810426540284355,0.0416,120.8665,0.4254807692307693,0.897,0.8679,0.8736,0.0054,0.0188,0.0544,188.7368,0.4191176470588236,0.1339,0.1326,EE2
0.3,0.21,0.0295,7.0298,0.3898305084745763,0.0572,107.1035,0.3583916083916084,0.8348,0.7927,0.8019,0.0068,0.0276,0.073,164.6183,0.3534246575342466,0.1773,0.1759,EE3
0.3,0.28,0.0385,7.6077,0.37402597402597404,0.0737,106.0903,0.3283582089552239,0.7677,0.7154,0.7273,0.0078,0.0358,0.0928,159.322,0.3232758620689655,0.2047,0.2036,EE4
0.5,0.05,0.0126,26.2041,0.5634920634920635,0.0365,266.3321,0.8082191780821918,0.961,0.9484,0.9508,0.0041,0.01,0.0308,208.879,0.7694805194805194,0.0633,0.063,EE1
0.5,0.1,0.022,19.434,0.5545454545454546,0.0596,223.711,0.5939597315436241,0.9179,0.8936,0.8985,0.0058,0.0184,0.0499,170.7652,0.5831663326653307,0.1146,0.1138,EE2
0.5,0.15,0.0308,24.0955,0.45129870129870125,0.0829,234.1145,0.45958986731001206,0.8684,0.8336,0.8404,0.007,0.0248,0.0678,173.1061,0.45870206489675514,0.1563,0.1554,EE3
0.5,0.2,0.0396,14.9238,0.4343434343434343,0.1056,206.6841,0.4090909090909091,0.8145,0.7695,0.779,0.0081,0.0344,0.0852,147.3513,0.4049295774647888,0.1873,0.1866,EE4
0.7,0.03,0.014,49.9415,0.7071428571428572,0.0664,608.9297,1.0632530120481927,0.9704,0.9609,0.9628,0.0043,0.0094,0.0283,201.7208,0.9469964664310955,0.0496,0.0501,EE1
0.7,0.06,0.0235,46.5404,0.5234042553191489,0.1099,585.6124,0.7079162875341218,0.9395,0.9205,0.9246,0.0061,0.016,0.0456,184.1875,0.6469298245614035,0.091,0.0911,EE2
0.7,0.09,0.0359,42.216,0.724233983286908,0.1742,590.01,0.7296211251435132,0.9011,0.8722,0.8786,0.0078,0.0252,0.0663,162.772,0.7134238310708899,0.1308,0.131,EE3
0.7,0.12,0.0447,42.8292,0.5145413870246085,0.2432,677.5354,0.5555098684210527,0.862,0.8254,0.8326,0.0095,0.0313,0.0813,159.9909,0.5289052890528905,0.1609,0.1613,EE4
